Name,In-game Description,Parsed Description
"先に水を飲まないと…","回復タイプの攻撃力が3.5倍、回復力は2倍。","Healer Type cards ATK x3.5, RCV x2."
"急いで陣形に戻らないと","回復タイプの攻撃力が4倍、回復力は2倍。
ドロップを消した時、回復力×10倍のHPを回復。","Healer Type cards ATK x4, RCV x2.
Heal RCV x10 as HP after every orbs elimination."
"きっと成功しますよ！","スキル使用時、体力タイプの攻撃力が6倍。","Physical Type cards ATK x6 on the turn a skill is used. (Multiple skills will not stack)."
"私が先陣を引き受けますから","体力タイプの攻撃力と回復力が1.5倍。
スキル使用時、体力タイプの攻撃力が6倍。","Physical Type cards ATK x1.5, RCV x1.5.
Physical Type cards ATK x6 on the turn a skill is used. (Multiple skills will not stack)."
"硬質の肉体","体力タイプの攻撃力が1.5倍。
受けるダメージを軽減。","Physical Type cards ATK x1.5, reduce damage taken by 20%."
"硬質の肉体","体力タイプの攻撃力が1.5倍。
受けるダメージを軽減。","Physical Type cards ATK x1.5, reduce damage taken by 20%."
"高熱の蒸気","体力タイプのHPがほんの少し上昇、攻撃力が2.5倍。","Physical Type cards HP x1.25, ATK x2.5."
"高熱の蒸気","体力タイプのHPがほんの少し上昇、攻撃力が2.5倍。","Physical Type cards HP x1.25, ATK x2.5."
"独特な構え","攻撃タイプの攻撃力が2倍。
攻撃を受けると、たまに光属性で猛反撃。","Attacker Type cards ATK x2.
50% chance to deal counter Light damage of 5x damage taken."
"独特な構え","攻撃タイプの攻撃力が2倍。
攻撃を受けると、たまに光属性で猛反撃。","Attacker Type cards ATK x2.
50% chance to deal counter Light damage of 5x damage taken."
"無し","",""
"無し","",""
"無し","",""
"Welcoming Sea God's Jaw","HP & RCV increases slightly for Physical Type; 3x ATK when Water & Wood attack at once","Physical Type cards HP x1.1, RCV x1.1.
All Attribute cards ATK x3 when attacking with 2 of following orb types: Water & Wood."
"Welcoming Sea God's Jaw","HP & RCV increases slightly for Physical Type; 3x ATK when Water & Wood attack at once","Physical Type cards HP x1.1, RCV x1.1.
All Attribute cards ATK x3 when attacking with 2 of following orb types: Water & Wood."
"Burning Instinct","Fire Att. HP & RCV increase a little; 3.5x ATK when attacking with 4+ Att. (3+Heal) at once","Fire Attribute cards HP x1.35, RCV x1.35.
All Attribute cards ATK x3.5 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"Starry Sky Embrace","Water Att. HP & RCV increase a little; 3x ATK with 5+ combos","Water Attribute cards HP x1.35, RCV x1.35.
All Attribute cards ATK x3 when reaching 5 combos or above."
"Monarchy of Dark Riches","Wood Att. HP & RCV increase a little; 3.5x ATK
with 6+ combos","Wood Attribute cards HP x1.35, RCV x1.35.
All Attribute cards ATK x3.5 when reaching 6 combos or above."
"Exaltation of Sacred Life","Light Att. HP & RCV increase a little; 4.5x ATK when attacking with 5+ Att. (4+Heal) at once","Light Attribute cards HP x1.35, RCV x1.35.
All Attribute cards ATK x4.5 when attacking with 5 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"Game of the Dead","Dark Att. HP & RCV increase a little; 3x ATK when attacking with 3+ Att. (2+Heal) at once","Dark Attribute cards HP x1.35, RCV x1.35.
All Attribute cards ATK x3 when attacking with 3 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"Destructive Dance of the Four Origins","5x ATK when Fire, Water, Wood & Light attack at once; ATK increases with 6+ combos, up to 2x","All Attribute cards ATK x5 when attacking with 4 of following orb types: Fire, Water, Wood & Light.
ATK x1.2 at 6 combos. ATK multiplier increases by 0.2 for each additional combo, up to ATK x2 at 10 combos."
"Divine Clock of Woven Destinies","3.5x ATK for Wood Att. & 2x HP for Fire Att.;
1.5x ATK for each cross of 5 Wood Orbs","Wood Attribute cards ATK x3.5. Fire Attribute cards HP x2.
ATK x1.5 for clearing each Wood orbs in a cross formation."
"Divine Ship of World Protection","2.5x HP & 1.5x ATK & RCV for God Type","God Type cards HP x2.5, ATK x1.5, RCV x1.5."
"Victory Sword Herald","2.5x ATK & RCV for Fire Att.; 1.5x ATK for Fire Att. when skills used","Fire Attribute cards ATK x2.5, RCV x2.5.
Fire Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Golden Apple Remains","2.5x ATK & RCV for Water Att.; 1.5x ATK for Water Att. when skills used","Water Attribute cards ATK x2.5, RCV x2.5.
Water Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Malice of the Brisingamen","2.5x ATK & RCV for Wood Att.; 1.5x ATK for Wood Att. when skills used","Wood Attribute cards ATK x2.5, RCV x2.5.
Wood Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Asmegin Unleashed","2.5x ATK & RCV for Light Att.; 1.5x ATK for Light Att. when skills used","Light Attribute cards ATK x2.5, RCV x2.5.
Light Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Trickster's Scheme","2.5x ATK & RCV for Dark Att.; 1.5x ATK for Dark Att. when skills used","Dark Attribute cards ATK x2.5, RCV x2.5.
Dark Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Fire Sword of Eradication","2x ATK & HP for Physical Type; 
Fire counterattack","Physical Type cards HP x2, ATK x2.
Deal counter Fire damage of 2x damage taken."
"Fire Sword of Eradication","2x ATK & HP for Physical Type; 
Fire counterattack","Physical Type cards HP x2, ATK x2.
Deal counter Fire damage of 2x damage taken."
"Lantern of Bifröst","1.5x HP & 2x ATK for God Type; erasing a cross of 5 Heal Orbs grants damage reduction","God Type cards HP x1.5, ATK x2.
reduce damage taken by 35% after matching Heal orbs in a cross formation."
"Lantern of Bifröst","1.5x HP & 2x ATK for God Type; erasing a cross of 5 Heal Orbs grants damage reduction","God Type cards HP x1.5, ATK x2.
reduce damage taken by 35% after matching Heal orbs in a cross formation."
"Corpse Princess's Bitter Poison","2x ATK & RCV for Dark Att.; 3.5x ATK when erasing 6+ linked Poison or Lethal Poison Orbs","Dark Attribute cards ATK x2, RCV x2.
All Attribute cards ATK x3.5 when simultaneously clearing 6 connected Poison or Mortal Poison orbs."
"Corpse Princess's Bitter Poison","2x ATK & RCV for Dark Att.; 3.5x ATK when erasing 6+ linked Poison or Lethal Poison Orbs","Dark Attribute cards ATK x2, RCV x2.
All Attribute cards ATK x3.5 when simultaneously clearing 6 connected Poison or Mortal Poison orbs."
"Happy Halloween!","Halves Dark & Water Att. Damage","50% Water & Dark damage reduction."
"Heh heh ho!","1.5x ATK & RCV for Water Att.","Water Attribute cards ATK x1.5, RCV x1.5."
"I Love Sweets!","1.5x ATK & RCV for Dark Att.","Dark Attribute cards ATK x1.5, RCV x1.5."
"How is My Dancing?","2.5x ATK & 2x HP for Dragon & Physical Types;
5x ATK with 6+ combos","Physical & Dragon Type cards HP x2, ATK x2.5.
All Attribute cards ATK x5 when reaching 6 combos or above."
"Who Are You Here to See?","5x ATK when Fire, Water, Light & Dark attack at once;
1.5x to all stats for God & Devil Types","All Attribute cards ATK x5 when attacking with 4 of following orb types: Fire, Water, Light & Dark.
God & Devil Type cards HP x1.5, ATK x1.5, RCV x1.5."
"Care to Join Me?","4x ATK for God & Balanced Types, but halves their
RCV; erasing a cross of 5 Heal Orbs halves damage","Balanced & God Type cards ATK x4, RCV x0.5.
reduce damage taken by 50% after matching Heal orbs in a cross formation."
"I'll Have Some Fun Tonight!","1.5x HP for Attacker & Devil Types;
3x ATK when skills used","Attacker & Devil Type cards HP x1.5.
Fire, Water, Wood, Light & Dark Attribute cards ATK x3 on the turn a skill is used. (Multiple skills will not stack)."
"The Moon is Beautiful Tonight","2.5x ATK & 2x HP for Dark Att.","Dark Attribute cards HP x2, ATK x2.5."
"Right This Way","3x ATK for Healer & Devil Types; heals HP 
equal to 5x RCV when matching Orbs","Healer & Devil Type cards ATK x3.
Heal RCV x5 as HP after every orbs elimination."
"Trick or Treat!","2x ATK when erasing 2 of these Orb types: Light, Dark
or Heal (3.5x ATK for all 3); Orb move time +5 seconds","All Attribute cards ATK x2 when attacking with 2 of following orb types: Light, Dark & Heart. ATK x1.5 for each additional orb type, up to ATK x3.5 for all 3 matches.
Increases time limit of orb movement by 5 seconds."
"None","",""
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Mechanical Flame Star of Scorpius","4x ATK for Att. erasing 5 Orbs with 1+ enhanced;
reduces non-Fire Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Water, Wood, Light & Dark damage reduction."
"Mechanical Flame Star of Scorpius","4x ATK for Att. erasing 5 Orbs with 1+ enhanced;
reduces non-Fire Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Water, Wood, Light & Dark damage reduction."
"Mechanical Water Star of Pisces","4x ATK for Att. erasing 5 Orbs with 1+ enhanced; reduces non-Water Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Wood, Light & Dark damage reduction."
"Mechanical Water Star of Pisces","4x ATK for Att. erasing 5 Orbs with 1+ enhanced; reduces non-Water Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Wood, Light & Dark damage reduction."
"Mechanical Earth Star of Virgo","4x ATK for Att. erasing 5 Orbs including enhanced; reduces damage from non-Wood Att. enemies","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Water, Light & Dark damage reduction."
"Mechanical Earth Star of Virgo","4x ATK for Att. erasing 5 Orbs including enhanced; reduces damage from non-Wood Att. enemies","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Water, Light & Dark damage reduction."
"Mechanical Light Star of Gemini","4x ATK for Att. erasing 5 Orbs with 1+ enhanced;
reduces non-Light Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Water, Wood & Dark damage reduction."
"Mechanical Light Star of Gemini","4x ATK for Att. erasing 5 Orbs with 1+ enhanced;
reduces non-Light Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Water, Wood & Dark damage reduction."
"Mechanical Dark Star of Gemini","4x ATK for Att. erasing 5 Orbs with 1+ enhanced;
reduces non-Dark Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Water, Wood & Light damage reduction."
"Mechanical Dark Star of Gemini","4x ATK for Att. erasing 5 Orbs with 1+ enhanced;
reduces non-Dark Att. damage","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb.
30% Fire, Water, Wood & Light damage reduction."
"Latent Awakening! (Skill Delay Resist.)","Causes a Skill Delay Resistance Latent Awakening upon
fusion with an eligible base monster (uses 1 slot)","Causes a Skill Delay Resistance Latent Awakening upon
fusion with an eligible base monster (uses 1 slot)"
"ゆくでござる","水木光の中から2色同時攻撃で攻撃力が2倍、3色で3.5倍。","All Attribute cards ATK x2 when attacking with 2 of following orb types: Water, Wood & Light. ATK x1.5 for each additional orb type, up to ATK x3.5 for all 3 matches."
"ゆくでござる","水木光の中から2色同時攻撃で攻撃力が2倍、3色で3.5倍。","All Attribute cards ATK x2 when attacking with 2 of following orb types: Water, Wood & Light. ATK x1.5 for each additional orb type, up to ATK x3.5 for all 3 matches."
"ちくわだワン！","3コンボ以上で光属性の攻撃力が2倍。","Light Attribute cards ATK x2 at 3 combos or above."
"Dog Spirit - Fire","1.5x HP & 2x ATK for Fire Att.","Fire Attribute cards HP x1.5, ATK x2."
"Dog Spirit - Water","1.5x HP & 2x ATK for Water Att.","Water Attribute cards HP x1.5, ATK x2."
"Dog Spirit - Wood","1.5x HP & 2x ATK for Wood Att.","Wood Attribute cards HP x1.5, ATK x2."
"Dog Spirit - Shadow","2x ATK & 1.5x RCV for Dark Att.","Dark Attribute cards ATK x2, RCV x1.5."
"Dog Spirit - Dark","1.5x HP & 2x ATK for Dark Att.","Dark Attribute cards HP x1.5, ATK x2."
"Dog Spirit - Light","1.5x HP & 2x ATK for Light Att.","Light Attribute cards HP x1.5, ATK x2."
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"Eternal Dragon Pact - Fragrem","2x HP & 2.5x ATK for Light Att.;
1.5x ATK for Light Att. when skills used","Light Attribute cards HP x2, ATK x2.5.
Light Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Pact - Fragrem","2x HP & 2.5x ATK for Light Att.;
1.5x ATK for Light Att. when skills used","Light Attribute cards HP x2, ATK x2.5.
Light Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Pact - Toa","2x HP & 2.5x ATK for Water Att.;
2.5x ATK for Water Att. when skills used","Water Attribute cards HP x2, ATK x2.5.
Water Attribute cards ATK x2.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Pact - Toa","2x HP & 2.5x ATK for Water Att.;
2.5x ATK for Water Att. when skills used","Water Attribute cards HP x2, ATK x2.5.
Water Attribute cards ATK x2.5 on the turn a skill is used. (Multiple skills will not stack)."
"Ultimate Secret of Hokuto, Musou Tensei","3x ATK & reduces damage when HP is 50% or more;
5x ATK with 7+ combos","All Attribute cards ATK x3, reduce damage taken by 35% when HP 50% or more.
All Attribute cards ATK x5 when reaching 7 combos or above."
"Ultimate Secret, Musou Tensei","3.5x ATK for Fire Att., 2x HP for Dark Att.;
5x ATK & inflicts 50,000 damage with 6+ linked Fire Orbs","Fire Attribute cards ATK x3.5. Dark Attribute cards HP x2.
All Attribute cards ATK x5 when simultaneously clearing 6 connected Fire orbs.
50,000 damage to all enemies, ignore enemy element and defense when simultaneously clearing 6+ Fire orbs at the same time."
"Listen to my wish","1.5x ATK with 1 Heal combo, 2.5x for 2+ combos;
ATK increases with 4+ linked Light Orbs, up to 3x","All Attribute cards ATK x1.5 when reaching 1 Heart combos. Attack multiplier increases by 1 for each additional combo, up to ATK x2.5 when reaching 2 Heart combos.
All Attribute cards ATK x2 when simultaneously clearing 4 connected Light orbs. ATK x0.5 for each additional connected orb, up to ATK x3 at 6 connected orbs."
"As destined for the Nanto General!","2x ATK & reduces damage with 1+ Heal combo;
ATK increases with 4+ linked Light Orbs, up to 8x","All Attribute cards ATK x2, 25% all damage reduction when attacking with 1 Heart combos at the same time.
All Attribute cards ATK x6 when simultaneously clearing 4 connected Light orbs. ATK x1 for each additional connected orb, up to ATK x8 at 6 connected orbs."
"I live as free as the clouds","3.5x ATK, but halves overall RCV","All Attribute cards ATK x3.5, RCV x0.5."
"Haisui is the true essence of my fist","3.5x ATK, but halves overall RCV; 1.5x ATK for Attacker Type when HP is 20% or less","All Attribute cards ATK x3.5, RCV x0.5.
Attacker Type cards ATK x1.5 when HP is 20% or less%."
"HAHA! I got you!","3.5x ATK when HP is 20% or less;
may survive when HP is reduced to 0","Fire, Water, Wood, Light & Dark Attribute cards ATK x3.5 when HP is 20% or less%.
While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Time to become a demon and fight!","4x ATK when HP is 20% or less;
may survive when HP is reduced to 0","Fire, Water, Wood, Light & Dark Attribute cards ATK x4 when HP is 20% or less%.
While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Stubbornness to Sadness","ATK increases with 3+ combos, up to 3x","ATK x2 at 3 combos. ATK multiplier increases by 0.5 for each additional combo, up to ATK x3 at 5 combos."
"It all ends here and now!","ATK increases with 3+ combos, up to 3x;
Orb move time +2 seconds","ATK x2 at 3 combos. ATK multiplier increases by 0.5 for each additional combo, up to ATK x3 at 5 combos.
Increases time limit of orb movement by 2 seconds."
"None","",""
"None","",""
"None","",""
"散魂鉄爪","4色（3色＋回復）以上同時攻撃で攻撃力が4倍。","All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"風の傷","攻撃タイプの攻撃力がほんの少し上昇。
4色（3色＋回復）以上同時攻撃で攻撃力が4倍。","Attacker Type cards ATK x1.25.
All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"爆流破","攻撃タイプの攻撃力と回復力が3倍。
4色（3色＋回復）以上同時攻撃で攻撃力が上昇、最大5倍。","Attacker Type cards ATK x3, RCV x3.
All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart. ATK x1 for each additional orb type, up to ATK x5 for all 5 matches."
"邪気祓い","4色（3色＋回復）以上同時攻撃で攻撃力が3.5倍。","All Attribute cards ATK x3.5 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"破魔の矢","4色（3色＋回復）以上同時攻撃で攻撃力が4倍。","All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light, Dark & Heart."
"ダーリン","強化ドロップを含めて5個消した属性の攻撃力が4倍。","Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"ラムだっちゃ","攻撃タイプのHPがほんの少し上昇。
強化ドロップを含めて5個消した属性の攻撃力が4倍。","Attacker Type cards HP x1.2.
Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"そうとう強いぜ…オレ達！","体力と悪魔タイプの攻撃力が1.5倍。
5コンボ以上で攻撃力が上昇、最大5倍。","Physical & Devil Type cards ATK x1.5.
ATK x2 at 5 combos. ATK multiplier increases by 1 for each additional combo, up to ATK x5 at 8 combos."
"行こうぜ、とら","体力と悪魔タイプの攻撃力と回復力が1.5倍。
5コンボ以上で攻撃力が上昇、最大5倍。","Physical & Devil Type cards ATK x1.5, RCV x1.5.
ATK x2 at 5 combos. ATK multiplier increases by 1 for each additional combo, up to ATK x5 at 8 combos."
"さあ…ぼくのパーティーだ…","攻撃タイプの攻撃力が2.5倍。","Attacker Type cards ATK x2.5."
"お姉ちゃんを…助けるんだ","攻撃タイプの攻撃力が2.5倍。
HP50％以上で敵から受けるダメージを軽減。","Attacker Type cards ATK x2.5.
35% all damage reduction when HP is 50% or more."
"竜之炎参式・焔群","火を6個以上つなげて消すと、攻撃力が3倍。","All Attribute cards ATK x3 when simultaneously clearing 6 connected Fire orbs."
"同時竜・虚空崩","火を6個以上つなげて消すと攻撃力が上昇、最大4倍。","All Attribute cards ATK x3 when simultaneously clearing 6 connected Fire orbs. ATK x0.5 for each additional connected orb, up to ATK x4 at 8 connected orbs."
"風の爪","木を4個以上つなげて消すと、攻撃力が2倍。","All Attribute cards ATK x2 when simultaneously clearing 4 connected Wood orbs."
"風魂","木を4個以上つなげて消すと攻撃力が上昇、最大3倍。","All Attribute cards ATK x2 when simultaneously clearing 4 connected Wood orbs. ATK x0.5 for each additional connected orb, up to ATK x3 at 6 connected orbs."
"ウーゴくん！","光を6個以上つなげて消すと、攻撃力が1.5倍。
強化ドロップを含めて5個消した属性の攻撃力が3倍。","All Attribute cards ATK x1.5 when simultaneously clearing 6 connected Light orbs.
Matched attribute ATK x3 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"ソロモンの知恵","光属性の攻撃力が2倍。
強化ドロップを含めて5個消した属性の攻撃力が3.5倍。","Light Attribute cards ATK x2.
Matched attribute ATK x3.5 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"アモンの宝剣","強化ドロップを含めて5個消した属性の攻撃力が3.5倍。","Matched attribute ATK x3.5 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"アモンの轟炎剣","攻撃タイプのHPがほんの少し上昇。
強化ドロップを含めて5個消した属性の攻撃力が4倍。","Attacker Type cards HP x1.2.
Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"ファナリス","火属性のHPが1.5倍、攻撃力は2倍。","Fire Attribute cards HP x1.5, ATK x2."
"炎翼鉄鎖","火属性のHPが1.5倍、攻撃力は2.5倍。
スキル使用時、火属性の攻撃力が少し上昇。","Fire Attribute cards HP x1.5, ATK x2.5.
Fire Attribute cards ATK x1.3 on the turn a skill is used. (Multiple skills will not stack)."
"降り注ぐ氷槍","闇属性の攻撃力が少し上昇。
お邪魔を6個以上つなげて消すと、攻撃力が3倍。","Dark Attribute cards ATK x1.3.
All Attribute cards ATK x3 when simultaneously clearing 6 connected Jammer orbs."
"降り注ぐ氷槍","闇属性の攻撃力が少し上昇。
お邪魔を6個以上つなげて消すと、攻撃力が3倍。","Dark Attribute cards ATK x1.3.
All Attribute cards ATK x3 when simultaneously clearing 6 connected Jammer orbs."
"希望よ絶望に変われ","悪魔タイプのHPが1.5倍、攻撃力は2倍。
火属性の敵から受けるダメージを半減。","Devil Type cards HP x1.5, ATK x2, reduce damage taken by 50%."
"希望よ絶望に変われ","悪魔タイプのHPが1.5倍、攻撃力は2倍。
火属性の敵から受けるダメージを半減。","Devil Type cards HP x1.5, ATK x2, reduce damage taken by 50%."
"くくく、憐れだな","悪魔タイプの攻撃力と回復力が1.5倍。
毒か猛毒を4個以上つなげて消すと、攻撃力が2倍。","Devil Type cards ATK x1.5, RCV x1.5.
All Attribute cards ATK x2 when simultaneously clearing 4 connected Poison or Mortal Poison orbs."
"くくく、憐れだな","悪魔タイプの攻撃力と回復力が1.5倍。
毒か猛毒を4個以上つなげて消すと、攻撃力が2倍。","Devil Type cards ATK x1.5, RCV x1.5.
All Attribute cards ATK x2 when simultaneously clearing 4 connected Poison or Mortal Poison orbs."
"全て滅ぶ可し!!","悪魔タイプの回復力が1.5倍。
9コンボ以上で攻撃力が6倍。","Devil Type cards RCV x1.5.
All Attribute cards ATK x6 when reaching 9 combos or above."
"全て滅ぶ可し!!","悪魔タイプの回復力が1.5倍。
9コンボ以上で攻撃力が6倍。","Devil Type cards RCV x1.5.
All Attribute cards ATK x6 when reaching 9 combos or above."
"わしはとらだ！","悪魔タイプの攻撃力が2倍。
強化ドロップを含めて5個消した属性の攻撃力が2倍。","Devil Type cards ATK x2.
Matched attribute ATK x2 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"無し","",""
"無し","",""
"無し","",""
"無し","",""
"無し","",""
"無し","",""
"Charging Order","Attacker Type ATK & RCV increase slightly;
3x ATK with 2+ Fr+Fr or Fr+Wt combos","Attacker Type cards ATK x1.25, RCV x1.25.
All Attribute cards ATK x3 when reaching 2 Fire combos."
"Rallying Order","Healer Type ATK & HP increase slightly;
3x ATK with 2+ Wt+Wt or Wt+Lt combos","Healer Type cards HP x1.25, ATK x1.25.
All Attribute cards ATK x3 when reaching 2 Water combos."
"Magical Attack Order","Devil Type ATK & HP increase slightly;
3x ATK with 2+ Wd+Wd or Wd+Dk combos","Devil Type cards HP x1.25, ATK x1.25.
All Attribute cards ATK x3 when reaching 2 Wood combos."
"Banishing Order","Attacker Type ATK & HP increase slightly;
3x ATK with 2+ Lt+Lt or Lt+Fr combos","Attacker Type cards HP x1.25, ATK x1.25.
All Attribute cards ATK x3 when reaching 2 Fire combos."
"Summoning Order","Devil Type ATK & RCV increase slightly;
3x ATK with 2+ Dk+Dk or Dk+Wt combos","Devil Type cards ATK x1.25, RCV x1.25.
All Attribute cards ATK x3 when reaching 2 Water combos."
"Guidance of the Red Angel","1.5x ATK, 2x HP & RCV for Fire Att.","Fire Attribute cards HP x2, ATK x1.5, RCV x2."
"Guidance of the Blue Angel","1.5x ATK, 2x HP & RCV for Water Att.","Water Attribute cards HP x2, ATK x1.5, RCV x2."
"Guidance of the Green Angel","1.5x ATK, 2x HP & RCV for Wood Att.","Wood Attribute cards HP x2, ATK x1.5, RCV x2."
"Guidance of the Shining Angel","1.5x ATK, 2x HP & RCV for Light Att.","Light Attribute cards HP x2, ATK x1.5, RCV x2."
"Proverb of Betrayal","1.5x ATK, 2x HP & RCV for Dark Att.","Dark Attribute cards HP x2, ATK x1.5, RCV x2."
"Evil Flame Violent Storm","3x ATK & 1.5x RCV for Physical & Devil Types","Physical & Devil Type cards ATK x3, RCV x1.5."
"Devil's Constable","2.5x ATK, 1.5x HP & RCV for Physical & Devil Types","Physical & Devil Type cards HP x1.5, ATK x2.5, RCV x1.5."
"Cauchemar Crusher","1.5x HP & ATK for Devil & Healer Types; 3x ATK when erasing 6+ linked Wood Orbs","Healer & Devil Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x3 when simultaneously clearing 6 connected Wood orbs."
"Fearless Attack","4x ATK for Attacker & Devil Types when HP is 50% or more; their HP increases slightly","Attacker & Devil Type cards HP x1.25.
Attacker & Devil Type cards ATK x4 when HP is 50% or more."
"Morning Star Apocalypse","Devil & God Types stats increase a little; 3x ATK when erasing 6+ linked Dark Orbs","God & Devil Type cards HP x1.35, ATK x1.35, RCV x1.35.
All Attribute cards ATK x3 when simultaneously clearing 6 connected Dark orbs."
"Eternal Dragon Pact - Kuarje","2x HP & 2.5x ATK for Wood Att.;
1.5x ATK for Wood Att. when skills used","Wood Attribute cards HP x2, ATK x2.5.
Wood Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Pact - Kuarje","2x HP & 2.5x ATK for Wood Att.;
1.5x ATK for Wood Att. when skills used","Wood Attribute cards HP x2, ATK x2.5.
Wood Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Holy Night Dance-Whole Sky","1.5x to all stats for Healer Type;
5x ATK when Fire, Water, Wood & Light attack at once","Healer Type cards HP x1.5, ATK x1.5, RCV x1.5.
All Attribute cards ATK x5 when attacking with 4 of following orb types: Fire, Water, Wood & Light."
"Which one do you want?","2.5x ATK, 1.5x HP & RCV for God & Dragon Types; 6x ATK
& reduces dmg when Fr, Wt, Wd, Dk & Heal attack at once","Dragon & God Type cards HP x1.5, ATK x2.5, RCV x1.5.
All Attribute cards ATK x6, reduce damage taken by 25% when attacking with 5 of Fire, Water, Wood, Dark & Heart orb types at the same time."
"Let's party together ♪","2.5x ATK & 2x HP for Devil & Dragon Types; 1.5x ATK with 6+ combos","Dragon & Devil Type cards HP x2, ATK x2.5.
All Attribute cards ATK x1.5 when reaching 6 combos or above."
"It's cold... but also warm...","3.5x ATK erasing 3 of: Fr, Wt, Dk, or Heal; 2x ATK for Att. erasing 5 Orbs including enhanced","All Attribute cards ATK x3.5 when attacking with 3 of following orb types: Fire, Water, Dark & Heart.
Matched attribute ATK x2 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"See, it's warm, isn't it?","HP increases a little for Attacker Type; 3.5x ATK for Attacker Type when HP is 50% or more","Attacker Type cards HP x1.35.
Attacker Type cards ATK x3.5 when HP is 50% or more."
"Everyone, let's feast!","2.5x HP & 1.5x ATK for Healer Type; heals 4x RCV in HP when matching Orbs","Healer Type cards HP x2.5, ATK x1.5.
Heal RCV x4 as HP after every orbs elimination."
"Let's sing together ♪","1.5x to all stats for Healer Type; heals 4x RCV in HP when matching Orbs","Healer Type cards HP x1.5, ATK x1.5, RCV x1.5.
Heal RCV x4 as HP after every orbs elimination."
"Santa, we're waiting for you","1.5x HP & 2.5x ATK for Healer Type; heals 4x RCV in HP when matching Orbs","Healer Type cards HP x1.5, ATK x2.5.
Heal RCV x4 as HP after every orbs elimination."
"This is a present for you ♪","2x ATK & HP for Healer Type; heals 4x RCV in HP when matching Orbs","Healer Type cards HP x2, ATK x2.
Heal RCV x4 as HP after every orbs elimination."
"I'll show you a wonderful dream","3x ATK for Healer Type; heals 4x RCV in HP when matching Orbs","Healer Type cards ATK x3.
Heal RCV x4 as HP after every orbs elimination."
