Name, Skill CD (Max), # of Skillups, In-Game Description, Parsed Description
"Iron Wall Stance","15","6","Halves damage for 5 turns","50% damage reduction for 5 turns."
"Shower of Healing","10","11","Fully recovers HP & bind status","Recover 100% of max HP. 9999 turn bind recovery."
"かめはめ波","9","7","1ターンの間、体力とドラゴンタイプの攻撃力が2.5倍。
敵1体に攻撃力×100倍の攻撃。","Physical & Dragon Type cards ATK x2.5 for 1 turns.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x100 to all enemies. Affected by enemy element and defense."
"超かめはめ波","6","8","敵1体に攻撃力×100倍の攻撃。
水と光ドロップを強化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x100 to all enemies. Affected by enemy element and defense.
Enhance Water & Light orbs."
"ファイナルフラッシュ","8","6","敵1体に攻撃力×80倍の攻撃。
火、お邪魔、毒ドロップを闇ドロップに変化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x80 to all enemies. Affected by enemy element and defense.
Changes Fire, Jammer, Poison & Mortal Poison orbs into Dark orbs."
"必殺剣","7","7","敵1体に攻撃力×80倍の攻撃。
木と毒ドロップを水ドロップに変化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x80 to all enemies. Affected by enemy element and defense.
Changes Wood, Poison & Mortal Poison orbs into Water orbs."
"超爆裂魔破","7","7","敵1体に攻撃力×80倍の攻撃。
回復とお邪魔ドロップを木ドロップに変化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x80 to all enemies. Affected by enemy element and defense.
Changes Heart & Jammer orbs into Wood orbs."
"ロケットパンチ","6","5","敵1体に攻撃力×80倍の木属性攻撃。
木ドロップを強化。","Inflict a 80x-80x Wood attack on 1 enemy. Affected by enemy element and defense.
Enhance Wood orbs."
"ロケットパンチ","6","5","敵1体に攻撃力×80倍の木属性攻撃。
木ドロップを強化。","Inflict a 80x-80x Wood attack on 1 enemy. Affected by enemy element and defense.
Enhance Wood orbs."
"エネルギーボール","20","5","敵全体に攻撃力×250倍の火属性攻撃。","Inflict a 250x-250x Fire attack on all enemies. Affected by enemy element and defense."
"エネルギーボール","20","5","敵全体に攻撃力×250倍の火属性攻撃。","Inflict a 250x-250x Fire attack on all enemies. Affected by enemy element and defense."
"パワーブリッツ","9","5","敵1体に攻撃力×80倍の水属性攻撃。
全ドロップを水、木、光ドロップに変化。","Inflict a 80x-80x Water attack on 1 enemy. Affected by enemy element and defense.
Change all orbs to Water, Wood & Light orbs."
"パワーブリッツ","9","5","敵1体に攻撃力×80倍の水属性攻撃。
全ドロップを水、木、光ドロップに変化。","Inflict a 80x-80x Water attack on 1 enemy. Affected by enemy element and defense.
Change all orbs to Water, Wood & Light orbs."
"超級かめはめ波","6","7","敵1体に攻撃力×100倍の攻撃。
木と闇ドロップを強化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x100 to all enemies. Affected by enemy element and defense.
Enhance Wood & Dark orbs."
"超級かめはめ波","6","7","敵1体に攻撃力×100倍の攻撃。
木と闇ドロップを強化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x100 to all enemies. Affected by enemy element and defense.
Enhance Wood & Dark orbs."
"超級かめはめ波","6","7","敵1体に攻撃力×100倍の攻撃。
木と闇ドロップを強化。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x100 to all enemies. Affected by enemy element and defense.
Enhance Wood & Dark orbs."
"スナイプショット","14","16","敵1体に攻撃力×80倍の闇属性攻撃。","Inflict a 80x-80x Dark attack on 1 enemy. Affected by enemy element and defense."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"光吸収","12","11","1ターンの間、光属性ダメージを無効化。","100% 3 damage for 1 turn."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"暗黒魔界の炎","10","11","敵1体に10000の固定ダメージ。","Deal 10,000 damage to 1 enemy. Ignore enemy element and defense."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"バリアー","10","16","1ターンの間、受けるダメージを半減。","50% damage reduction for 1 turns."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"お菓子光線","7","9","左端縦1列を回復ドロップに変化。","Change the leftmost column into Heart orbs."
"お菓子光線","7","9","左端縦1列を回復ドロップに変化。","Change the leftmost column into Heart orbs."
"お菓子光線","7","9","左端縦1列を回復ドロップに変化。","Change the leftmost column into Heart orbs."
"ダイナマイトキック","9","6","敵の行動を2ターン遅らせる。
敵1体に自分の攻撃力分の攻撃。","Delay 2 turns to all enemies.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x1 to all enemies. Affected by enemy element and defense."
"ダイナマイトキック","9","6","敵の行動を2ターン遅らせる。
敵1体に自分の攻撃力分の攻撃。","Delay 2 turns to all enemies.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Five Colored Alchemy","7","6","Changes Orbs to all Attributes","Change all orbs to Fire, Water, Wood, Light & Dark orbs."
"Five Colored Alchemy","7","6","Changes Orbs to all Attributes","Change all orbs to Fire, Water, Wood, Light & Dark orbs."
"Orb Transformation","7","6","Changes Orbs to all Attributes & Heal","Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs."
"Orb Transformation","7","6","Changes Orbs to all Attributes & Heal","Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs."
"The Way of Yielding Firmness","5","14","Recovers 25% HP;
Fire & Wood Orbs enhanced","Recover 25% of max HP.
Enhance Wood & Fire orbs."
"The Way of Yielding Firmness","5","14","Recovers 25% HP;
Fire & Wood Orbs enhanced","Recover 25% of max HP.
Enhance Wood & Fire orbs."
"Fire Awakening","6","10","Fire Orbs slightly more likely to appear for
3 turns; 2 Fire Orbs created at random","Increase skyfall chance of Fire orbs by 15% for 3 turns.
Randomly spawn 2 Fire orbs each from non Fire orbs."
"Water Awakening","6","10","Water Orbs slightly more likely to appear for
3 turns; 2 Water Orbs created at random","Increase skyfall chance of Water orbs by 15% for 3 turns.
Randomly spawn 2 Water orbs each from non Water orbs."
"Wood Awakening","6","10","Wood Orbs slightly more likely to appear for
3 turns; 2 Wood Orbs created at random","Increase skyfall chance of Wood orbs by 15% for 3 turns.
Randomly spawn 2 Wood orbs each from non Wood orbs."
"Light Spell","5","5","Changes the leftmost column into Light Orbs","Change the leftmost column into Light orbs."
"Hell Ball","6","10","Inflicts 20,000 Dark Att. damage on all enemies; changes Water Orbs to Dark Orbs","Inflict 200 Dark damage on all enemies.
Change Water orbs to Dark orbs."
"Solid Fortitude","6","7","Changes Poison & Heal Orbs to Fire Orbs; recovers
5000 HP, reduces bind status (incl. Awoken) by 5 turns","Change Heart orbs to Fire orbs, Poison orbs to Fire orbs.
5 turn bind recovery. 5 turn awoken bind recovery."
"Force","20","6","Delays enemies' next move for 5 turns","Delay 5 turns to all enemies."
"Tree Spell","5","5","Changes the bottom row into Wood Orbs","Change the bottom row into Wood orbs."
"Heroic Dragon Guard","15","6","Vastly reduces damage for 3 turns","75% damage reduction for 3 turns."
"Divine Instrument Strike","8","6","2.5x ATK for God & Devil Types for 2 turns; 40x
ATK Dark attack on 1 enemy but HP falls to 1","God & Devil Type cards ATK x2.5 for 2 turns.
Inflict a 40x Dark attack to 1 enemy but HP falls to 1. Affected by enemy element and defense."
"Five Flower Scales","6","5","Extends time to move Orbs by 1 second for
3 turns, plus all enemies poisoned","Orb move time +1 seconds for 3 turn.
Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense."
"Aqua Leaf Prism","8","4","Changes Light Orbs to Water & Heal Orbs to Wood;
Orb move time +2 seconds for 1 turn","Change Light orbs to Water orbs, Heart orbs to Wood orbs.
Orb move time +2 seconds for 1 turn."
"素早い攻撃ニャ！","5","11","敵1体に攻撃力×40倍の光属性攻撃。
光ドロップを強化。","Inflict a 40x-40x Light attack on 1 enemy. Affected by enemy element and defense.
Enhance Light orbs."
"素早い攻撃ニャ！","5","11","敵1体に攻撃力×40倍の光属性攻撃。
光ドロップを強化。","Inflict a 40x-40x Light attack on 1 enemy. Affected by enemy element and defense.
Enhance Light orbs."
"牽制するニャ！","9","5","敵の行動を2ターン遅らせる。","Delay 2 turns to all enemies."
"牽制するニャ！","9","5","敵の行動を2ターン遅らせる。","Delay 2 turns to all enemies."
"ジワジワ攻めるニャ！","10","7","1ターンの間、悪魔とドラゴンタイプの攻撃力が2.5倍。
闇ドロップを強化。","Dragon & Devil Type cards ATK x2.5 for 1 turns.
Enhance Dark orbs."
"ジワジワ攻めるニャ！","10","7","1ターンの間、悪魔とドラゴンタイプの攻撃力が2.5倍。
闇ドロップを強化。","Dragon & Devil Type cards ATK x2.5 for 1 turns.
Enhance Dark orbs."
"音なき不意打ちニャ！","11","5","全ドロップを火、水、光、回復ドロップに変化。
1ターンの間、1コンボ加算。","Change all orbs to Fire, Water, Light & Heart orbs.
+1 combo counts for 1 turn."
"音なき不意打ちニャ！","11","5","全ドロップを火、水、光、回復ドロップに変化。
1ターンの間、1コンボ加算。","Change all orbs to Fire, Water, Light & Heart orbs.
+1 combo counts for 1 turn."
"お怒りニャ！","12","5","全ドロップを火と木ドロップに変化。","Change all orbs to Fire & Wood orbs."
"お怒りニャ！","12","5","全ドロップを火と木ドロップに変化。","Change all orbs to Fire & Wood orbs."
"Spread Cats","6","8","Wood Att. ATK increased slightly,
plus Mass Attack for 3 turns","All attacks become mass attacks for 3 turns.
Wood Attribute ATK x1.15 for 3 turns."
"Fire Spell","5","5","Changes the bottom row into Fire Orbs","Change the bottom row into Fire orbs."
"Fire Spell","5","5","Changes the bottom row into Fire Orbs","Change the bottom row into Fire orbs."
"Aqua Spell","5","5","Changes the bottom row into Water Orbs","Change the bottom row into Water orbs."
"Aqua Spell","5","5","Changes the bottom row into Water Orbs","Change the bottom row into Water orbs."
"Tree Spell","5","5","Changes the bottom row into Wood Orbs","Change the bottom row into Wood orbs."
"Tree Spell","5","5","Changes the bottom row into Wood Orbs","Change the bottom row into Wood orbs."
"Light Spell","5","5","Changes the leftmost column into Light Orbs","Change the leftmost column into Light orbs."
"Light Spell","5","5","Changes the leftmost column into Light Orbs","Change the leftmost column into Light orbs."
"Dark Spell","5","5","Changes the rightmost column to Dark Orbs;
Dark Orbs enhanced","Change the rightmost column into Dark orbs.
Enhance Dark orbs."
"Dark Spell","5","5","Changes the rightmost column to Dark Orbs;
Dark Orbs enhanced","Change the rightmost column into Dark orbs.
Enhance Dark orbs."
"Break Time","12","5","Delays enemies' next move for 1 turn, fully rcv Awoken
Skill bind status; changes the bottom row to Heal Orbs","Delay 1 turns to all enemies.
9999 turn awoken bind recovery.
Change the bottom row into Heart orbs."
"Break Time","12","5","Delays enemies' next move for 1 turn, fully rcv Awoken
Skill bind status; changes the bottom row to Heal Orbs","Delay 1 turns to all enemies.
9999 turn awoken bind recovery.
Change the bottom row into Heart orbs."
"Gravity Room","8","5","Reduces enemies' remaining HP by 10%, fully recovers 
unmatchable Orb status; changes Jammers & Poison to Heal","Reduce all enemies' HP by 10%. Ignore enemy element and defense.
Reduces unmatchable orb status by 9999 turns.
Change Jammer orbs to Heart orbs, Poison orbs to Heart orbs."
"Gravity Room","8","5","Reduces enemies' remaining HP by 10%, fully recovers 
unmatchable Orb status; changes Jammers & Poison to Heal","Reduce all enemies' HP by 10%. Ignore enemy element and defense.
Reduces unmatchable orb status by 9999 turns.
Change Jammer orbs to Heart orbs, Poison orbs to Heart orbs."
"Emerald Guard","11","12","Reduces damage for 1 turn; changes all Orbs to Fire, Wood, and Dark Orbs","30% damage reduction for 1 turns.
Change all orbs to Fire, Wood & Dark orbs."
"Emerald Guard","11","12","Reduces damage for 1 turn; changes all Orbs to Fire, Wood, and Dark Orbs","30% damage reduction for 1 turns.
Change all orbs to Fire, Wood & Dark orbs."
"Starlight Breath","6","12","Inflicts 40x ATK Light Att. attack on all enemies,
plus Heal Orbs & Jammers change to Light Orbs","Inflict Light damage equal to ATK x40 to all enemies. Affected by enemy element and defense.
Change Heart orbs to Light orbs, Jammer orbs to Light orbs."
"Starlight Breath","6","12","Inflicts 40x ATK Light Att. attack on all enemies,
plus Heal Orbs & Jammers change to Light Orbs","Inflict Light damage equal to ATK x40 to all enemies. Affected by enemy element and defense.
Change Heart orbs to Light orbs, Jammer orbs to Light orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Fire&Wood Orbs Change","6","8","Changes Wood Orbs & Jammers to Fire Orbs,
and Heal Orbs & Poison Orbs to Wood Orbs","Change Wood orbs to Fire orbs, Jammer orbs to Fire orbs.
Changes Heart, Poison & Mortal Poison orbs into Wood orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Double Water Guard","5","8","Changes Fire, Dark & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Fire, Dark, Poison & Mortal Poison orbs into Heart orbs.
3 turn bind recovery."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Protection Magic - Light","6","6","Changes Water Orbs to Heal Orbs,
plus bind status is reduced by 3 turns","Change Water orbs to Heart orbs.
3 turn bind recovery."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Double Light Guard","5","8","Changes Wood, Dark & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Wood, Dark, Poison & Mortal Poison orbs into Heart orbs.
3 turn bind recovery."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Dark&Light Orbs Change","6","8","Changes Light Orbs & Jammers to Dark Orbs,
and Heal Orbs & Poison Orbs to Light Orbs","Change Light orbs to Dark orbs, Jammer orbs to Dark orbs.
Changes Heart, Poison & Mortal Poison orbs into Light orbs."
"Grand Howl","8","9","Delays enemies' next move for 1 turn; Wood Orbs enhanced","Delay 1 turns to all enemies.
Enhance Wood orbs."
"Grand Howl","8","9","Delays enemies' next move for 1 turn; Wood Orbs enhanced","Delay 1 turns to all enemies.
Enhance Wood orbs."
"Dispelling Breath","5","6","Dark Orbs enhanced;
reduces damage for 1 turn","Enhance Dark orbs.
35% damage reduction for 1 turns."
"Draco Summoning Circle-Fr & Dk","12","8","Changes all Orbs to Fire & Dark Orbs","Change all orbs to Fire & Dark orbs."
"World's End","15","21","Inflicts 300x ATK Dark Att. attack on 1 enemy but HP falls to 1; 6 Dark Orbs created at random","Inflict a 300x Dark attack to 1 enemy but HP falls to 1. Affected by enemy element and defense.
Randomly spawn 6 Dark orbs each from non Dark orbs."
"Zone of Darkness","6","6","Changes Heal Orbs to Dark Orbs,
plus bind status is reduced by 1 turn","Change Heart orbs to Dark orbs.
1 turn bind recovery."
"Zone of Darkness","6","6","Changes Heal Orbs to Dark Orbs,
plus bind status is reduced by 1 turn","Change Heart orbs to Dark orbs.
1 turn bind recovery."
"Red Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Attacker Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Attacker Type cards ATK x2.5 for 2 turn."
"Red Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Attacker Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Attacker Type cards ATK x2.5 for 2 turn."
"Blue Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for God Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
God Type cards ATK x2.5 for 2 turn."
"Blue Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for God Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
God Type cards ATK x2.5 for 2 turn."
"Green Crest","6","10","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Balanced Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Balanced Type cards ATK x2.5 for 2 turn."
"Green Crest","6","10","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Balanced Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Balanced Type cards ATK x2.5 for 2 turn."
"Holy Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Healer Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Healer Type cards ATK x2.5 for 2 turn."
"Holy Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Healer Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Healer Type cards ATK x2.5 for 2 turn."
"Evil Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Physical Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Physical Type cards ATK x2.5 for 2 turn."
"Evil Crest","10","6","Inflicts 100,000 damage on 1 enemy;
2.5x ATK for Physical Type for 2 turns","Deal 100,000 damage to 1 enemy. Ignore enemy element and defense.
Physical Type cards ATK x2.5 for 2 turn."
"Corona Blast","11","7","Changes Heal Orbs to Fire Orbs;
1.5x ATK for Fire Att. for 2 turns","Change Heart orbs to Fire orbs.
Fire Attribute ATK x1.5 for 2 turns."
"Corona Blast","11","7","Changes Heal Orbs to Fire Orbs;
1.5x ATK for Fire Att. for 2 turns","Change Heart orbs to Fire orbs.
Fire Attribute ATK x1.5 for 2 turns."
"Celestial Sign","4","6","Changes the leftmost column into Water Orbs","Change the leftmost column into Water orbs."
"Celestial Sign","4","6","Changes the leftmost column into Water Orbs","Change the leftmost column into Water orbs."
"Forest Sign","4","6","Changes the rightmost column into Wood Orbs","Change the rightmost column into Wood orbs."
"Forest Sign","4","6","Changes the rightmost column into Wood Orbs","Change the rightmost column into Wood orbs."
"Heavenly Splash","13","6","Reduces enemies' remaining HP by 25%;
2x Orb move time for 2 turns","Reduce all enemies' HP by 25%. Ignore enemy element and defense.
2x orb move time for 2 turn."
"Heavenly Splash","13","6","Reduces enemies' remaining HP by 25%;
2x Orb move time for 2 turns","Reduce all enemies' HP by 25%. Ignore enemy element and defense.
2x orb move time for 2 turn."
"Dark Terror Mist","8","10","1.5x ATK for Dark Att. for 2 turns;
Dark Orbs enhanced","Dark Attribute ATK x1.5 for 2 turns.
Enhance Dark orbs."
"Dark Terror Mist","8","10","1.5x ATK for Dark Att. for 2 turns;
Dark Orbs enhanced","Dark Attribute ATK x1.5 for 2 turns.
Enhance Dark orbs."
"Space-Time Tuning Circle-Fr & Wt","9","6","Changes Orbs to Fire, Water, and Heal Orbs","Change all orbs to Fire, Water & Heart orbs."
"Space-Time Tuning Circle-Fr & Wt","9","6","Changes Orbs to Fire, Water, and Heal Orbs","Change all orbs to Fire, Water & Heart orbs."
"Space-Time Tuning Circle-Wd & Fr","9","6","Changes Orbs to Fire, Wood, and Heal Orbs","Change all orbs to Fire, Wood & Heart orbs."
"Space-Time Tuning Circle-Wd & Fr","9","6","Changes Orbs to Fire, Wood, and Heal Orbs","Change all orbs to Fire, Wood & Heart orbs."
"Space-Time Tuning Circle-Wt & Wd","9","6","Changes Orbs to Water, Wood, and Heal Orbs","Change all orbs to Water, Wood & Heart orbs."
"Space-Time Tuning Circle-Wt & Wd","9","6","Changes Orbs to Water, Wood, and Heal Orbs","Change all orbs to Water, Wood & Heart orbs."
"Heat Vision","8","6","Inflicts 10,000 damage on all enemies;
changes all Orbs to Fire, Water & Light Orbs","Deal 10,000 damage to all enemies. Ignore enemy element and defense.
Change all orbs to Fire, Water & Light orbs."
"Heat Vision","8","6","Inflicts 10,000 damage on all enemies;
changes all Orbs to Fire, Water & Light Orbs","Deal 10,000 damage to all enemies. Ignore enemy element and defense.
Change all orbs to Fire, Water & Light orbs."
"Arctic Breath","8","5","Changes the leftmost column into Lt, and the rightmost into Wt; allies' skills charged by 1 turn","Change the leftmost column into Light orbs. Change the rightmost column into Water orbs.
Team skills charged by 1 to 1 turns."
"Arctic Breath","8","5","Changes the leftmost column into Lt, and the rightmost into Wt; allies' skills charged by 1 turn","Change the leftmost column into Light orbs. Change the rightmost column into Water orbs.
Team skills charged by 1 to 1 turns."
"Harpoon of Atlantis","8","6","3x ATK for Physical Type for 1 turn;
other allies' skills charged by 1 turn","Physical Type cards ATK x3 for 1 turn.
Team skills charged by 1 to 1 turns."
"Harpoon of Atlantis","8","6","3x ATK for Physical Type for 1 turn;
other allies' skills charged by 1 turn","Physical Type cards ATK x3 for 1 turn.
Team skills charged by 1 to 1 turns."
"Broken Arrow","7","6","All Orbs enhanced, vastly reduces enemies' DEF
for 1 turn; other allies' skills charged by 1 turn","Enhance Fire, Water, Wood, Light, Dark & Heart orbs.
Reduce enemies' defense by 75% for 1 turn. Effects carry forward on sweep.
Team skills charged by 1 to 1 turns."
"Broken Arrow","7","6","All Orbs enhanced, vastly reduces enemies' DEF
for 1 turn; other allies' skills charged by 1 turn","Enhance Fire, Water, Wood, Light, Dark & Heart orbs.
Reduce enemies' defense by 75% for 1 turn. Effects carry forward on sweep.
Team skills charged by 1 to 1 turns."
"Infinite Mass Punch","8","6","3x ATK for Attacker Type for 1 turn;
other allies' skills charged by 1 turn","Attacker Type cards ATK x3 for 1 turn.
Team skills charged by 1 to 1 turns."
"Infinite Mass Punch","8","6","3x ATK for Attacker Type for 1 turn;
other allies' skills charged by 1 turn","Attacker Type cards ATK x3 for 1 turn.
Team skills charged by 1 to 1 turns."
"Batarang Blitz","8","6","3x ATK for Balanced Type for 1 turn;
other allies' skills charged by 1 turn","Balanced Type cards ATK x3 for 1 turn.
Team skills charged by 1 to 1 turns."
"Batarang Blitz","8","6","3x ATK for Balanced Type for 1 turn;
other allies' skills charged by 1 turn","Balanced Type cards ATK x3 for 1 turn.
Team skills charged by 1 to 1 turns."
"Lasso of Truth","8","6","Delays enemies' next move for 1 turn;
1.5x Orb move time for 3 turns","Delay 1 turns to all enemies.
1.5x orb move time for 3 turn."
"Lasso of Truth","8","6","Delays enemies' next move for 1 turn;
1.5x Orb move time for 3 turns","Delay 1 turns to all enemies.
1.5x orb move time for 3 turn."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Fire&Water Orbs Change","6","8","Changes Fire Orbs & Jammers to Water Orbs,
and Heal Orbs & Poison Orbs to Fire Orbs","Change Fire orbs to Water orbs, Jammer orbs to Water orbs.
Changes Heart, Poison & Mortal Poison orbs into Fire orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Aqua Spell","5","5","Changes the bottom row into Water Orbs","Change the bottom row into Water orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Dark Spell","5","5","Changes the rightmost column to Dark Orbs;
Dark Orbs enhanced","Change the rightmost column into Dark orbs.
Enhance Dark orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Gravity Room","8","5","Reduces enemies' remaining HP by 10%, fully recovers 
unmatchable Orb status; changes Jammers & Poison to Heal","Reduce all enemies' HP by 10%. Ignore enemy element and defense.
Reduces unmatchable orb status by 9999 turns.
Change Jammer orbs to Heart orbs, Poison orbs to Heart orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Poison Mist","10","6","1.5x ATK for Devil Type for 1 turn;
poisons all enemies","Devil Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense."
"Omega Sanction","9","11","Inflicts 8000 damage on all enemies","Deal 8,000 damage to all enemies. Ignore enemy element and defense."
"Omega Sanction","9","11","Inflicts 8000 damage on all enemies","Deal 8,000 damage to all enemies. Ignore enemy element and defense."
"None","1","0","",""
"1,000 Day Anniversary TAMA!","6","1","Inflicts 1000 damage on all enemies","Inflicts 1000 damage on all enemies"
"Hokuto Iron PAW-m Wave","15","1","Reduces enemies' remaining HP by 25%","Reduces enemies' remaining HP by 25%"
"Break Time","12","5","Delays enemies' next move for 1 turn, fully rcv Awoken
Skill bind status; changes the bottom row to Heal Orbs","Delay 1 turns to all enemies.
9999 turn awoken bind recovery.
Change the bottom row into Heart orbs."
"Break Time","12","5","Delays enemies' next move for 1 turn, fully rcv Awoken
Skill bind status; changes the bottom row to Heal Orbs","Delay 1 turns to all enemies.
9999 turn awoken bind recovery.
Change the bottom row into Heart orbs."
"Gravity Room","8","5","Reduces enemies' remaining HP by 10%, fully recovers 
unmatchable Orb status; changes Jammers & Poison to Heal","Reduce all enemies' HP by 10%. Ignore enemy element and defense.
Reduces unmatchable orb status by 9999 turns.
Change Jammer orbs to Heart orbs, Poison orbs to Heart orbs."
"Gravity Room","8","5","Reduces enemies' remaining HP by 10%, fully recovers 
unmatchable Orb status; changes Jammers & Poison to Heal","Reduce all enemies' HP by 10%. Ignore enemy element and defense.
Reduces unmatchable orb status by 9999 turns.
Change Jammer orbs to Heart orbs, Poison orbs to Heart orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"None","1","0","",""
"Fortitudinous Rally","5","14","Recovers 25% HP;
Wood & Light Orbs enhanced","Recover 25% of max HP.
Enhance Wood & Light orbs."
"Fortitudinous Rally","5","14","Recovers 25% HP;
Wood & Light Orbs enhanced","Recover 25% of max HP.
Enhance Wood & Light orbs."
"Samurai Dragon's Bravery","10","9","Reduces enemies' remaining HP by 15%;
Fire Orbs enhanced","Reduce all enemies' HP by 15%. Ignore enemy element and defense.
Enhance Fire orbs."
"Magic Stone Teleportation","4","6","Switches places with Leader Monster
Use again to switch back","Switch places with leader. Use again to switch back."
"100 Victories in 100 Battles","8","5","2x ATK for Attacker Type for 1 turn; vastly reduces enemies' DEF for 1 turn","Attacker Type cards ATK x2 for 1 turn.
Reduce enemies' defense by 75% for 1 turn. Effects carry forward on sweep."
"100 Victories in 100 Battles","8","5","2x ATK for Attacker Type for 1 turn; vastly reduces enemies' DEF for 1 turn","Attacker Type cards ATK x2 for 1 turn.
Reduce enemies' defense by 75% for 1 turn. Effects carry forward on sweep."
"Unwavering Faith","6","7","Changes Poison & Heal Orbs to Wood Orbs; bind status reduced by 3 turns, 3000 HP recovered","Change Heart orbs to Wood orbs, Poison orbs to Wood orbs.
3 turn bind recovery."
"Unwavering Faith","6","7","Changes Poison & Heal Orbs to Wood Orbs; bind status reduced by 3 turns, 3000 HP recovered","Change Heart orbs to Wood orbs, Poison orbs to Wood orbs.
3 turn bind recovery."
"サンダークロウ","11","6","全ドロップを水、木、光、回復ドロップに変化。
敵のHP5％分のダメージ。","Change all orbs to Water, Wood, Light & Heart orbs.
Reduce all enemies' current HP by 5% of their max HP."
"サンダークロウ","11","6","全ドロップを水、木、光、回復ドロップに変化。
敵のHP5％分のダメージ。","Change all orbs to Water, Wood, Light & Heart orbs.
Reduce all enemies' current HP by 5% of their max HP."
"Sエクスティンクション","6","6","闇とお邪魔ドロップを光ドロップに変化。
1ターンの間、光属性の攻撃力が少し上昇。","Changes Dark & Jammer orbs into Light orbs.
Light Attribute ATK x1.3 for 1 turns."
"Sエクスティンクション","6","6","闇とお邪魔ドロップを光ドロップに変化。
1ターンの間、光属性の攻撃力が少し上昇。","Changes Dark & Jammer orbs into Light orbs.
Light Attribute ATK x1.3 for 1 turns."
"廬山百龍覇","8","5","左端縦1列を木に、右端縦1列を光ドロップに変化。
1ターンの間、1コンボ加算。","Change the leftmost column into Wood orbs. Change the rightmost column into Light orbs.
+1 combo counts for 1 turn."
